Dernier,MA_150,MA_100,MA_50,RSI,signal_MA_50_MA_150,signal_MA_100_MA_150,signal_MA_50_MA_100
62245.6,,,75667.036,31.35690028256552,0.0,0.0,0.0
62819.4,,,75062.136,33.91256297519297,0.0,0.0,0.0
62061.4,,,74344.66,32.20669225466992,0.0,0.0,0.0
62081.0,,,73632.3,32.301520118618214,0.0,0.0,0.0
60751.2,,,72868.73,29.306322957288998,0.0,0.0,0.0
60645.7,,,72114.15400000001,29.07597332107838,0.0,0.0,0.0
60835.5,,84558.055,71444.786,30.139832762705012,0.0,0.0,0.0
63339.2,,84247.18,70866.78600000001,42.41135625356385,0.0,0.0,0.0
65607.1,,83933.95300000001,70369.35399999999,50.83584801200513,0.0,0.0,0.0
65866.5,,83570.131,69890.01,51.706070214514966,0.0,0.0,0.0
65776.3,,83244.41699999999,69394.754,51.365603039497394,0.0,0.0,0.0
65175.7,,82913.975,68877.338,49.04963292500461,0.0,0.0,0.0
63156.5,,82563.865,68394.588,42.166218634860705,0.0,0.0,0.0
64256.8,,82236.833,67871.28,46.56666645580574,0.0,0.0,0.0
63331.8,,81924.549,67379.09,43.56560855286646,0.0,0.0,0.0
63572.7,,81624.704,66877.262,44.56755160358165,0.0,0.0,0.0
63348.1,,81330.387,66536.454,43.78699929829949,0.0,0.0,0.0
63201.2,,81025.236,66266.47200000001,43.25341824907058,0.0,0.0,0.0
62938.6,,80701.777,65994.898,42.261986708872726,0.0,0.0,0.0
61757.6,,80376.594,65712.678,38.03907411131425,0.0,0.0,0.0
60309.1,,80021.908,65407.134000000005,33.6039498072838,0.0,0.0,0.0
58213.1,,79610.12599999999,65183.92199999999,28.43717260043016,0.0,0.0,0.0
59138.5,,79214.83,65009.71599999999,33.312426342810866,0.0,0.0,0.0
59995.4,,78866.26299999999,64834.232,37.55466469946261,0.0,0.0,0.0
60511.6,,78519.541,64657.948,40.02957693785955,0.0,0.0,0.0
58134.5,,78128.353,64430.49399999999,33.45415025452988,0.0,0.0,0.0
57338.7,,77723.783,64171.632000000005,31.58369614104889,0.0,0.0,0.0
57635.0,,77325.47200000001,63877.376,33.083865533820784,0.0,0.0,0.0
57049.6,,76893.99,63563.76,31.60917918221054,0.0,0.0,0.0
54861.3,,76381.214,63261.903999999995,26.800130737128526,0.0,0.0,0.0
54156.5,,75862.20300000001,62984.942,25.456769118502308,0.0,0.0,0.0
53966.8,,75357.441,62722.542,25.092199168936602,0.0,0.0,0.0
56183.2,,74905.096,62512.27,36.529309294723184,0.0,0.0,0.0
57973.4,,74470.568,62307.907999999996,43.97052514462755,0.0,0.0,0.0
57479.8,,74045.26699999999,62124.23,42.49131745337078,0.0,0.0,0.0
59134.0,,73625.345,61958.364,48.71765841923411,0.0,0.0,0.0
57315.7,,73232.499,61757.25199999999,43.18318441652776,0.0,0.0,0.0
58978.6,,72848.691,61556.21399999999,48.900496558335284,0.0,0.0,0.0
59119.7,,72428.73,61371.168,49.36608488966383,0.0,0.0,0.0
59373.5,,72024.095,61190.17600000001,50.24425356341495,0.0,0.0,0.0
59016.0,,71616.648,61022.128,48.95625975935576,0.0,0.0,0.0
59450.9,,71241.44900000001,60858.788,50.614786047793125,0.0,0.0,0.0
62846.2,,70883.553,60774.162000000004,61.21121393770553,0.0,0.0,0.0
64273.2,,70567.29800000001,60737.992,64.64478855220048,0.0,0.0,0.0
64159.3,,70250.425,60763.76,64.15662400193426,0.0,0.0,0.0
64053.1,,69918.942,60780.72,63.67381090918996,0.0,0.0,0.0
60372.2,,69558.607,60738.176,49.7102127247846,0.0,0.0,0.0
61158.1,,69195.808,60755.014,52.12428212914304,0.0,0.0,0.0
59005.8,,68829.41100000001,60722.554,45.65992492206186,0.0,0.0,0.0
59470.9,,68465.254,60668.831999999995,47.184247727005605,0.0,0.0,0.0
58446.3,,68129.94099999999,60592.846000000005,44.24006243045392,0.0,0.0,0.0
59483.1,,67794.128,60526.12,47.79020207841493,0.0,0.0,0.0
58877.2,,67403.54800000001,60462.435999999994,45.94904723042607,0.0,0.0,0.0
57534.6,,67001.90400000001,60371.508,42.080379177472935,0.0,0.0,0.0
58707.8,,66599.685,60330.64,46.332507439173156,0.0,0.0,0.0
60595.2,,66221.892,60329.63,52.38829906254849,0.0,0.0,0.0
59350.0,76472.01,65872.353,60299.92,48.4999872290236,0.0,0.0,0.0
58713.3,76233.92066666667,65537.094,60207.401999999995,46.595613235680325,0.0,0.0,0.0
60931.7,75993.93333333333,65241.624,60113.894,53.45345910061708,0.0,0.0,0.0
60850.6,75717.946,64951.793,60013.57600000001,53.184576824171145,0.0,0.0,0.0
61699.7,75473.626,64663.399,59932.043999999994,55.697270330505354,0.0,0.0,0.0
55120.9,75186.29933333333,64304.143,59730.948000000004,38.46921071146441,0.0,0.0,0.0
56057.8,74905.568,63991.780999999995,59588.974,41.25595758158763,0.0,0.0,0.0
53979.0,74619.02799999999,63627.349,59383.418,37.227213181748674,0.0,0.0,0.0
58141.8,74376.23866666667,63329.35399999999,59279.617999999995,48.147006066370594,0.0,0.0,0.0
60696.7,74157.16866666666,63049.68,59222.098,53.49416929404637,0.0,0.0,0.0
61478.7,73948.49466666667,62860.582,59184.71,55.022993947132825,0.0,0.0,0.0
65372.9,73759.53866666666,62747.308,59228.144,61.7639233297029,0.0,0.0,0.0
64626.0,73555.14866666666,62628.395,59261.892,59.90931386895989,0.0,0.0,0.0
66184.9,73367.87533333334,62531.558,59350.437999999995,62.444072271122394,0.0,0.0,0.0
66798.7,73174.68199999999,62443.682,59480.23,63.42463429591187,0.0,0.0,0.0
68256.3,72967.11533333334,62432.508,59681.094000000005,65.71397224059959,0.0,0.0,0.0
67843.1,72761.61533333332,62432.450999999994,59855.18600000001,64.4818178235281,0.0,0.0,0.0
67908.6,72581.992,62423.84100000001,60013.45,64.59514547870015,0.0,0.0,0.0
65799.3,72386.09533333335,62388.575999999994,60119.204000000005,58.15956056329409,0.0,0.0,0.0
65370.5,72173.54333333333,62347.209,60263.924000000006,56.91808120598403,0.0,0.0,0.0
65937.8,71961.15733333334,62303.76899999999,60435.905999999995,58.189664259762544,0.0,0.0,0.0
67553.6,71761.74066666666,62255.827000000005,60634.278,61.66065816041248,0.0,0.0,0.0
68158.7,71548.14666666667,62210.11,60856.46,62.90270139574926,0.0,0.0,0.0
67148.5,71288.21066666667,62182.054,61102.204000000005,59.44059731236344,0.0,0.0,0.0
66677.4,71025.676,62168.782,61352.622,57.84176547769458,0.0,0.0,0.0
63980.5,70755.926,62137.719000000005,61552.89599999999,49.614351282040644,0.0,0.0,0.0
64089.2,70507.06933333332,62111.643,61711.016,49.92352668909309,0.0,0.0,0.0
65049.7,70264.55933333334,62080.225,61852.542,52.6862534492853,0.0,0.0,0.0
64782.4,70029.70933333333,62061.412000000004,61998.594,51.82928333765347,0.0,0.0,0.0
60794.9,69760.834,61995.087999999996,62031.812000000005,41.091654119934674,0.0,0.0,1.0
59209.8,69511.564,61913.473,62069.694,37.74413313503577,0.0,0.0,1.0
57885.1,69248.40199999999,61802.01899999999,62047.824,35.16581819839543,0.0,0.0,1.0
57337.3,68956.54533333334,61691.672,62012.176,34.12761671583468,0.0,0.0,1.0
57746.7,68675.94333333333,61584.907999999996,61979.64,35.656506053699786,0.0,0.0,1.0
58039.4,68397.80133333332,61491.117999999995,61960.108,36.786157423813115,0.0,0.0,1.0
56724.7,68129.49399999999,61382.18600000001,61905.584,33.90667995752311,0.0,0.0,1.0
55861.1,67844.32933333334,61270.022000000004,61765.88199999999,32.12766703205797,0.0,0.0,1.0
58259.2,67593.39933333333,61191.797,61645.602,41.33277197247444,0.0,0.0,1.0
56641.8,67332.03400000001,61129.505999999994,61495.25199999999,37.62628762351081,0.0,0.0,1.0
57026.3,67064.2,61067.718,61354.71600000001,39.0261169276265,0.0,0.0,1.0
60199.3,66822.824,61044.717000000004,61351.258,49.165089771114054,0.0,0.0,1.0
62103.3,66587.25933333332,61062.587999999996,61370.162000000004,54.097590361416394,0.0,0.0,1.0
62890.1,66368.89,61085.200999999994,61447.848,55.99763244403632,0.0,0.0,1.0
62754.3,66148.008,61091.17399999999,61513.516,55.57008052140118,0.0,0.0,1.0
