Date,Dernier,MA_150,MA_100,MA_50,RSI,MA_50_supérieure_MA_150,MA_100_supérieure_MA_150,MA_50_supérieure_MA_100,Lag_1,Lag_7,Lag_30
2014-06-29,0.004116103950025478,0.00386026959550844,0.0033496880570605537,0.0034634040108449593,52.53407034737016,1.0,0.0,1.0,0.004083076981146318,0.00413969464208202,0.004431857467343033
2014-06-30,0.004436937361994451,0.003833710193494995,0.003358084602764345,0.0035048453994003612,61.443500670188406,1.0,0.0,1.0,0.004116103950025478,0.004022684809481571,0.004586388036164115
2014-07-01,0.0045133712042576485,0.003807719234395896,0.0033689953683681416,0.0035469230846596877,63.21495523804432,1.0,0.0,1.0,0.004436937361994451,0.00400003774510729,0.004803325180855246
2014-07-02,0.00453696189631419,0.0037808187666338406,0.0033782576596035397,0.0035903965175276146,63.768256083497995,1.0,0.0,1.0,0.0045133712042576485,0.003808481325608168,0.004859788273309103
2014-07-03,0.00446430256478004,0.0037551338921809297,0.0033871641650040306,0.003630503735574795,60.73795613510945,1.0,0.0,1.0,0.00453696189631419,0.0039424764564893276,0.004997478972450963
2014-07-04,0.004332194689263404,0.0037286706881991443,0.003394457774619613,0.0036666084420973076,55.567553672328664,1.0,0.0,1.0,0.00446430256478004,0.004126483854530356,0.004695351898794364
2014-07-05,0.004322758412440787,0.003704052737370086,0.0034137295073437108,0.0037013789781115986,55.20605431275681,1.0,1.0,1.0,0.004332194689263404,0.004083076981146318,0.004906345560069301
2014-07-06,0.00435767263668447,0.0036863697900960703,0.0034308190869470497,0.0037370731706315814,56.337874753666796,1.0,1.0,1.0,0.004322758412440787,0.004116103950025478,0.004809268664271442
2014-07-07,0.004234057410308189,0.003679189918824078,0.0034470073424352917,0.0037706326903384083,51.387168514751174,1.0,1.0,1.0,0.00435767263668447,0.004436937361994451,0.004822146211673199
2014-07-08,0.004250099080906637,0.0036762602514962854,0.0034669787873013737,0.003805813740355231,51.97693337945379,1.0,1.0,1.0,0.004234057410308189,0.0045133712042576485,0.004815212147687637
2014-07-09,0.004322758412440787,0.0036730594806247286,0.0034881243254226446,0.003834221309330306,54.6600263930645,1.0,1.0,1.0,0.004250099080906637,0.00453696189631419,0.004748843249540122
2014-07-10,0.00427935153905675,0.0036761902892914434,0.0035064947340316473,0.0038608226166942494,52.76344800616751,1.0,1.0,1.0,0.004322758412440787,0.00446430256478004,0.004860778853878469
2014-07-11,0.004416177552984694,0.0036809039928427266,0.0035312218495576436,0.0038849403143428867,57.74099204960993,1.0,1.0,1.0,0.00427935153905675,0.004332194689263404,0.004735965702138365
2014-07-12,0.004444486383452544,0.003690069041677132,0.0035548934671067512,0.003909119589091904,58.71041953444273,1.0,1.0,1.0,0.004416177552984694,0.004322758412440787,0.004281289220799418
2014-07-13,0.004369939796553871,0.0037055131983961785,0.0035766675602030245,0.0039311847167278905,55.12426218958671,1.0,1.0,1.0,0.004444486383452544,0.00435767263668447,0.004412045855955716
2014-07-14,0.004278407911374488,0.0037221816936999766,0.003595844416704482,0.003941016527088484,51.00467702946234,1.0,1.0,1.0,0.004369939796553871,0.004234057410308189,0.00414557968279629
2014-07-15,0.00429067507124389,0.0037439137035792693,0.003615282182818202,0.003948734190336048,51.527509237152294,1.0,1.0,1.0,0.004278407911374488,0.004250099080906637,0.004134683296533263
2014-07-16,0.004245380942495328,0.003771461321736118,0.0036333561032314506,0.003957909178292594,49.43010653405195,1.0,1.0,1.0,0.00429067507124389,0.004322758412440787,0.004301100832186737
2014-07-17,0.004356729009002208,0.0038024458332058713,0.003652331347759792,0.003969362518963181,54.34952152999053,1.0,1.0,1.0,0.004245380942495328,0.00427935153905675,0.00436053566634869
2014-07-18,0.004365221658142563,0.003831611327349712,0.0036725162641268187,0.003982314235743002,54.71139401308938,1.0,1.0,1.0,0.004356729009002208,0.004416177552984694,0.004371432052611715
2014-07-19,0.0043605035197312545,0.003863575309687263,0.003701263759587258,0.0039853315136615984,54.45314103327841,1.0,1.0,1.0,0.004365221658142563,0.004444486383452544,0.0043119972184497615
2014-07-20,0.004303885858795553,0.003908097507794096,0.0037233106218236257,0.00398391524035287,51.32244550825372,1.0,1.0,1.0,0.0043605035197312545,0.004369939796553871,0.004218882644929365
2014-07-21,0.004342574593768283,0.003953004498027566,0.003745547236505277,0.003978845392421624,53.298356382125874,1.0,1.0,1.0,0.004303885858795553,0.004278407911374488,0.004280298640230051
2014-07-22,0.004318040274029478,0.003985090914223591,0.003768661456246366,0.003972071911379879,51.86071271633897,1.0,1.0,1.0,0.004342574593768283,0.00429067507124389,0.004345676957808202
2014-07-23,0.004310491252571385,0.004012332447734255,0.003785656159627063,0.0039622811524195395,51.401289670385545,1.0,1.0,1.0,0.004318040274029478,0.004245380942495328,0.00422284496720683
2014-07-24,0.004123652971483571,0.004049753482049544,0.0037946101031388732,0.003954686643372734,41.582741027135405,1.0,1.0,1.0,0.004310491252571385,0.004356729009002208,0.004199071033542048
2014-07-25,0.004110442183931908,0.004090392777787602,0.003802140903311059,0.003942432800397213,40.98658147596265,1.0,1.0,1.0,0.004123652971483571,0.004365221658142563,0.003997983177960771
2014-07-26,0.0040679789382301315,0.004090646390780156,0.003813288859471461,0.0039312668195283975,39.048708830175656,1.0,1.0,1.0,0.004110442183931908,0.0043605035197312545,0.004138645618810728
2014-07-27,0.004058542661407515,0.004090515211646076,0.0038262750424455463,0.003919628747556672,38.61181499004575,1.0,1.0,1.0,0.0040679789382301315,0.004303885858795553,0.004331808829837079
