Date,Dernier,MA_150,MA_100,MA_50,RSI
2014-05-30,0.0042217902504387865,598.3533333333334,491.936,478.686,78.01492052783038
2014-05-31,0.004368996168871609,597.1,497.096,482.54200000000003,79.72430015082398
2014-06-01,0.004575650631286918,595.7193333333333,502.47799999999995,486.786,81.85697383228613
2014-06-02,0.004629437409175835,594.194,506.477,491.344,82.37655661076064
2014-06-03,0.00476060165701021,592.4920000000001,510.069,495.16399999999993,83.60928539638861
2014-06-04,0.004472795213920395,589.9866666666667,514.7180000000001,497.414,71.74976854638493
2014-06-05,0.004673787910242135,587.6366666666667,519.962,499.87800000000004,74.47295555707232
2014-06-06,0.004581312397380489,586.1066666666667,520.535,502.846,71.07809163345813
2014-06-07,0.004593579557249892,584.1926666666667,521.087,506.17,71.26521742770097
2014-06-08,0.0045869741634740595,582.2860000000001,521.8580000000001,509.07,70.99884005236167
2014-06-09,0.004523751108762526,580.196,522.727,511.986,68.36485057357139
2014-06-10,0.004630381036858097,577.8646666666666,523.837,515.194,70.36195450633996
2014-06-11,0.004511483948893124,575.886,523.645,518.2959999999999,65.4039009474141
2014-06-12,0.00407835884273501,573.714,522.998,520.492,51.239325880500445
2014-06-13,0.004202917696793552,571.654,522.5179999999999,522.692,54.30426263310666
2014-06-14,0.003949081850265159,569.2686666666667,521.869,525.07,47.72122375330701
2014-06-15,0.00393870194576028,567.0606666666667,521.525,527.558,47.46781777640755
2014-06-16,0.004097231396380244,565.0933333333334,521.424,530.676,51.687377822346974
2014-06-17,0.004153849057315946,563.0893333333333,521.205,533.94,53.13519975593594
2014-06-18,0.004164228961820824,560.7653333333334,521.137,537.142,53.41085445842626
2014-06-19,0.004107611300885123,558.3933333333333,521.052,540.234,51.62708196417941
2014-06-20,0.004018910298752523,555.9173333333333,520.766,542.8480000000001,48.873219944333634
2014-06-21,0.004077415215052748,553.5573333333333,520.486,545.714,50.7396454069092
2014-06-22,0.00413969464208202,551.2866666666666,520.3820000000001,549.014,52.718397230798885
2014-06-23,0.004022684809481571,549.1179999999999,520.054,552.118,48.75577820678824
2014-06-24,0.00400003774510729,546.6366666666667,519.7510000000001,555.276,48.00368964925693
2014-06-25,0.003808481325608168,543.7133333333334,519.3720000000001,558.002,42.0896087998642
2014-06-26,0.0039424764564893276,541.308,519.21,560.726,47.00776030348966
2014-06-27,0.004126483854530356,539.1046666666666,519.2819999999999,563.948,52.920735099102146
2014-06-28,0.004083076981146318,536.9173333333333,519.5980000000001,566.99,51.461961183144524
2014-06-29,0.004116103950025478,534.6486666666666,520.113,569.974,52.53407034737016
2014-06-30,0.004436937361994451,532.624,520.821,574.012,61.443500670188406
2014-07-01,0.0045133712042576485,530.6426666666666,521.741,578.1120000000001,63.21495523804432
2014-07-02,0.00453696189631419,528.5919999999999,522.522,582.3480000000001,63.768256083497995
2014-07-03,0.00446430256478004,526.6339999999999,523.273,586.2560000000001,60.73795613510945
2014-07-04,0.004332194689263404,524.6166666666667,523.888,589.774,55.567553672328664
2014-07-05,0.004322758412440787,522.74,525.513,593.162,55.20605431275681
2014-07-06,0.00435767263668447,521.392,526.9540000000001,596.64,56.337874753666796
2014-07-07,0.004234057410308189,520.8446666666666,528.319,599.91,51.387168514751174
2014-07-08,0.004250099080906637,520.6213333333333,530.003,603.3380000000001,51.97693337945379
2014-07-09,0.004322758412440787,520.3773333333334,531.786,606.106,54.6600263930645
2014-07-10,0.00427935153905675,520.616,533.335,608.698,52.76344800616751
2014-07-11,0.004416177552984694,520.9753333333333,535.42,611.048,57.74099204960993
2014-07-12,0.004444486383452544,521.674,537.4159999999999,613.404,58.71041953444273
2014-07-13,0.004369939796553871,522.8513333333333,539.252,615.554,55.12426218958671
2014-07-14,0.004278407911374488,524.1220000000001,540.869,616.512,51.00467702946234
2014-07-15,0.00429067507124389,525.7786666666667,542.5079999999999,617.2639999999999,51.527509237152294
2014-07-16,0.004245380942495328,527.8786666666666,544.032,618.158,49.43010653405195
2014-07-17,0.004356729009002208,530.2406666666667,545.632,619.274,54.34952152999053
2014-07-18,0.004365221658142563,532.464,547.3340000000001,620.536,54.71139401308938
2014-07-19,0.0043605035197312545,534.9006666666667,549.758,620.83,54.45314103327841
2014-07-20,0.004303885858795553,538.2946666666667,551.617,620.692,51.32244550825372
2014-07-21,0.004342574593768283,541.7180000000001,553.492,620.198,53.298356382125874
2014-07-22,0.004318040274029478,544.164,555.441,619.538,51.86071271633897
2014-07-23,0.004310491252571385,546.2406666666667,556.874,618.5840000000001,51.401289670385545
2014-07-24,0.004123652971483571,549.0933333333334,557.6289999999999,617.844,41.582741027135405
2014-07-25,0.004110442183931908,552.1913333333333,558.2639999999999,616.65,40.98658147596265
2014-07-26,0.0040679789382301315,552.2106666666666,559.204,615.562,39.048708830175656
2014-07-27,0.004058542661407515,552.2006666666666,560.299,614.428,38.61181499004575
2014-07-28,0.003991545095966935,552.294,561.1179999999999,613.1659999999999,35.56894588916235
2014-07-29,0.003971728914639439,552.4833333333333,561.991,611.9960000000001,34.69795705381705
2014-07-30,0.003771679845999962,552.6166666666667,562.685,610.1759999999999,27.402758372650325
2014-07-31,0.004006643138883122,552.1320000000001,563.701,609.106,42.653426271272316
2014-08-01,0.004094400513333458,551.712,564.816,609.14,47.121460395180456
2014-08-02,0.00402740294789288,551.268,565.73,608.768,44.284699131439545
2014-08-03,0.004000981372789552,550.872,566.974,608.878,43.18067680201051
2014-08-04,0.004037782852397758,550.7126666666667,568.323,609.0880000000001,45.22885272243623
