Dernier,MA_150,MA_100,MA_50,RSI
0.0036534146210219563,536.9173333333333,519.5980000000001,566.99,51.461961183144524
0.0036807916298099755,552.1913333333333,558.2639999999999,616.65,40.98658147596265
0.003571283594657896,550.872,566.974,608.878,43.18067680201051
0.0036081009513038533,550.1940000000001,572.725,608.308,45.85840439076001
0.0036364219948776676,550.108,574.2270000000001,608.22,47.657380263581736
0.002585711278289183,547.5333333333333,584.234,547.932,38.84232427318708
0.002597983730504502,548.208,582.969,545.1080000000001,39.50366022574757
0.0024186171212036826,547.8833333333333,567.29,521.414,33.16008008374236
0.0020174023372413236,547.1613333333333,563.145,516.114,20.97140790221846
0.0018267073105109784,544.994,554.956,501.03399999999993,24.805236895644953
0.001778561536435495,543.9393333333334,545.7919999999999,483.3639999999999,31.671862040613433
0.0016256279011369014,542.1959999999999,537.235,467.398,31.566113289529866
0.0010601510644464227,539.8366666666667,527.7810000000001,454.026,20.85616239889633
0.0015350005617006976,535.6873333333334,508.644,433.82,44.22952935060792
0.001127177534237782,416.18666666666667,364.82,360.052,44.145058165419556
0.0009884044207260955,414.52466666666663,363.73,359.52,38.485836406719805
0.0009997328381556206,412.70466666666664,362.91799999999995,358.98,39.171373913812104
0.0,372.4893333333333,339.03,311.726,35.526874341574924
0.00035495707945846404,361.24666666666667,329.79,293.912,48.41795349990015
5.569805236183348e-05,341.05933333333337,314.10900000000004,266.464,40.8839511752203
0.0001236685569389862,336.0013333333334,310.67400000000004,260.782,44.08198082989609
8.590716550723474e-05,332.562,308.595,256.514,42.68498692082653
0.00026716184437964186,314.74933333333337,290.51099999999997,236.28,50.6986810735439
0.0007014178458447837,302.98466666666667,271.64300000000003,249.37400000000002,61.20062567683258
0.0005182750974007892,297.23066666666665,264.453,253.73,48.45824300039053
0.00034079655767155735,296.564,263.426,253.886,39.40717084402132
0.0003379644533141762,295.88199999999995,262.43600000000004,254.266,39.28108569520661
0.0003360763837425883,291.61133333333333,257.07899999999995,257.644,42.130982200588406
0.00039649461003339083,291.134,256.252,258.32,46.85454153826569
0.00011706031343842972,275.9186666666667,245.09,257.158,35.861747251548806
0.00029076271402448664,257.68933333333337,245.209,239.05200000000002,54.92963636001468
0.0002511132530211473,253.42,245.863,237.032,50.48615666622023
0.0002426169399490038,252.36800000000002,246.19299999999998,236.498,49.498214061214135
0.00018125467887240756,244.40466666666669,246.627,233.262,39.617184502363365
0.00011800434822422344,243.79066666666665,246.41400000000002,233.00600000000003,32.5157119531149
0.00016992626144288203,241.16866666666664,245.24199999999996,233.32600000000002,45.59666504023326
0.0003785579491033088,242.23399999999998,237.946,236.43200000000002,64.87372588925994
0.00036156532295902053,242.33333333333334,237.817,236.582,61.860945398033756
0.000687257324057877,247.47533333333334,241.332,248.65200000000002,60.432416490597184
0.0005985180541932611,248.24866666666665,242.225,251.024,53.35697942437562
0.000633447341267631,248.6786666666667,243.02200000000002,252.782,55.59037137367788
0.0007665562460645553,250.44133333333332,246.47099999999998,259.73,63.73792227051272
0.00015293363529859374,249.30800000000002,255.44600000000003,271.998,26.737861169178288
0.00027660219223757995,247.2386666666667,254.145,257.26599999999996,51.01869600153432
0.000183142748443995,247.78800000000004,255.011,241.25,44.53011754979906
0.00023034448773368412,247.95600000000002,254.65599999999998,238.34400000000002,51.431056275871235
0.00020674361808883978,247.99333333333334,254.39899999999997,236.95,47.870187659909654
0.00030586727059718705,248.09533333333331,253.68200000000002,232.504,59.43970352031017
0.000502226506042295,249.41333333333333,251.955,238.924,68.59979338359871
0.0009496989945085499,254.01199999999997,253.1,252.53,71.52843333531132
0.0011904278648859653,263.53333333333336,261.392,280.502,53.18218537234849
0.0010091731860135587,266.2353333333333,263.57399999999996,289.67600000000004,47.87815028729685
0.0010176694990857026,271.12066666666664,269.23,305.662,47.20023340398892
0.001512343726841647,274.35266666666666,274.934,316.586,63.94459862574575
0.0014132200743332997,277.05266666666665,280.653,325.906,57.76412489725137
0.001662445257782859,278.4766666666667,283.66,330.52799999999996,65.9730830745599
0.0020929251201048265,284.4506666666667,296.78,351.102,70.10904778387798
0.002188272633469998,296.81666666666666,320.122,380.05199999999996,61.79349445056978
0.0020825407374610943,309.808,346.23699999999997,400.84399999999994,53.15657758754706
0.0020919810853190324,319.476,362.815,419.968,48.894455386351886
0.001646396666424365,322.52,367.36199999999997,422.88199999999995,34.52293491595675
0.0015944747532057064,325.51866666666666,371.45599999999996,423.718,33.486951657614
0.001623739831565314,329.1766666666667,376.065,426.224,39.40254775270169
0.0017408001450037436,334.724,382.624,426.654,45.12489695391832
0.001541608805201254,340.57866666666666,388.574,419.922,39.580529588087074
0.0015793701966330055,345.25533333333334,392.33099999999996,411.986,43.83051908337298
0.0015293363529859352,346.14,392.945,410.60200000000003,41.77126186270387
0.0019683125283800466,401.604,411.14599999999996,417.954,53.88236704883141
0.001977752876237984,402.778,411.059,419.00800000000004,54.24463762926649
0.0019579281457363143,404.0733333333333,410.845,418.894,51.2634596295184
0.002220369816186987,420.09933333333333,416.62,428.79,53.41425093733728
0.002242082616260245,420.458,417.20300000000003,429.434,54.97743625890525
0.0028830822358142257,423.7126666666667,434.171,449.448,76.68643675069659
0.0034117417158587462,428.25266666666664,441.09899999999993,464.09,84.36636914480054
0.003437230655075179,432.50066666666663,448.379,478.6739999999999,76.8222564449641
0.0035967725338743287,434.44933333333336,451.624,484.17199999999997,80.19159547325742
0.004275533544860061,462.36333333333334,490.827,551.392,55.31382859724336
0.0040980550051308295,465.76399999999995,495.3589999999999,558.466,52.201217629266885
